case_id,label,source,unsupported_claims_count,coverage_ratio,max_relative_error,mean_relative_error,scale_mismatch_count,ambiguity_count,pnl_identity_fail_count,pnl_period_strict_mismatch_count,grounding_confidence_score,unverifiable_claim_count
tatqa_pnl_00346_scale_error,FLAG,error_injected,1,0.0,0.0,0.0,0,0,0,0,0.0,0
tatqa_pnl_00198,ACCEPT,tatqa_gold_train,0,1.0,0.0406889128094725,0.0406889128094725,0,0,0,0,1.0,0
tatqa_pnl_00152,ACCEPT,tatqa_gold_train,0,1.0,0.0,0.0,0,0,0,0,1.0,0
tatqa_pnl_00217_arithmetic_error,FLAG,error_injected,0,1.0,0.0461920529801324,0.0461920529801324,0,0,0,0,0.5476,0
tatqa_pnl_00262,ACCEPT,tatqa_gold_train,0,1.0,0.0,0.0,0,1,0,0,1.0,0
tatqa_pnl_00126_percentage_error,FLAG,error_injected,1,0.0,0.0,0.0,0,0,0,0,0.0,0
tatqa_pnl_00187,ACCEPT,tatqa_gold_dev,0,1.0,0.0213450292397659,0.0213450292397659,0,1,0,0,1.0,0
case_033,ACCEPT,cases_v2,0,1.0,0.0,0.0,0,0,0,0,1.0,0
tatqa_pnl_00041_near_miss_error,FLAG,error_injected,1,0.0,0.0,0.0,0,0,0,0,0.0,0
case_045,ACCEPT,cases_v2,0,1.0,0.0,0.0,0,0,0,0,1.0,0
tatqa_pnl_00072_near_miss_error,FLAG,error_injected,0,1.0,0.0119760479041915,0.0119760479041915,0,0,0,0,0.9753,0
tatqa_pnl_00188,ACCEPT,tatqa_gold_train,0,1.0,0.0,0.0,0,0,0,0,1.0,0
tatqa_pnl_00303_scale_error,FLAG,error_injected,1,0.0,0.0,0.0,0,0,0,0,0.0,0
tatqa_pnl_00241,ACCEPT,tatqa_gold_train,0,1.0,0.0,0.0,0,0,0,0,1.0,0
case_065,ACCEPT,cases_v2,0,1.0,0.0,0.0,0,0,0,0,1.0,0
tatqa_pnl_00280_near_miss_error,FLAG,error_injected,1,0.0,0.0,0.0,0,0,0,0,0.0,0
tatqa_pnl_00066,ACCEPT,tatqa_gold_train,0,1.0,0.0,0.0,0,0,0,0,1.0,0
tatqa_pnl_00016_near_miss_error,FLAG,error_injected,1,0.0,0.0,0.0,0,0,0,0,0.0,0
tatqa_pnl_00186_arithmetic_error,FLAG,error_injected,0,1.0,0.0034650034650033,0.0034650034650033,0,0,0,0,0.925,0
case_002,ACCEPT,cases_v2,0,1.0,0.0,0.0,0,0,0,0,1.0,0
tatqa_pnl_00214,ACCEPT,tatqa_gold_train,0,1.0,0.0,0.0,0,0,0,0,1.0,0
