case_id,case_type,case_description,gold_answer,rule_decision,human_label,unsupported_claims_count,coverage_ratio,recomputation_fail_count,max_relative_error,mean_relative_error,scale_mismatch_count,period_mismatch_count,ambiguity_count,pnl_table_detected,pnl_identity_fail_count,pnl_margin_fail_count,pnl_missing_baseline_count,pnl_period_strict_mismatch_count,near_tolerance_flag,grounding_confidence_score,claim_count
tatqa_pnl_00091,tatqa_real,"coverage=1.0, identity_fail=2, gold=31.75",31.75,REPAIR,FLAG,0,1.0,0,0.004702194357366727,0.004702194357366727,0,0,0,1,2,0,0,0,0,0.88,1
tatqa_pnl_00092,tatqa_real,"coverage=1.0, identity_fail=2, gold=25.7",25.7,REPAIR,FLAG,0,1.0,0,0.04048582995951417,0.04048582995951417,0,0,1,1,2,0,0,0,1,0.5439,1
tatqa_pnl_00010,tatqa_real,"coverage=1.0, identity_fail=2, gold=1171074.5",1171074.5,REPAIR,FLAG,0,1.0,0,0.020171387979916047,0.020171387979916047,0,0,1,1,2,0,0,0,1,0.8729,1
tatqa_pnl_00008,tatqa_real,"coverage=1.0, identity_fail=2, gold=3031930.5",3031930.5,REPAIR,FLAG,0,1.0,0,0.018895909006334286,0.018895909006334286,0,0,1,1,2,0,0,0,1,0.8888,1
tatqa_pnl_00009,tatqa_real,"coverage=1.0, identity_fail=2, gold=1860856",1860856,REPAIR,FLAG,0,1.0,0,0.018091520318794053,0.018091520318794053,0,0,1,1,2,0,0,0,1,0.8989,1
tatqa_pnl_00083,tatqa_real,"coverage=1.0, identity_fail=2, gold=10.8",10.8,REPAIR,FLAG,0,1.0,0,0.01818181818181812,0.01818181818181812,0,0,1,1,2,0,0,0,1,0.8977,1
tatqa_pnl_00298,tatqa_real,"coverage=1.0, identity_fail=3, gold=36%",36%,REPAIR,FLAG,0,1.0,0,0.0,0.0,0,0,0,1,3,0,0,0,0,0.9,1
tatqa_pnl_00084,tatqa_real,"coverage=1.0, identity_fail=2, gold=1.6",1.6,REPAIR,FLAG,0,1.0,0,0.0,0.0,0,0,0,1,2,0,0,0,0,0.0,1
c2a_000,partial_grounding,2 claims: revenue=316739 grounds; gm%=120.0 wrong (actual=60.0),"Revenue=316739, GM%=60.0",FLAG,FLAG,1,0.5,0,0.0,0.0,0,0,0,1,0,0,0,0,0,1.0,2
c2a_001,partial_grounding,2 claims: revenue=488389 grounds; gm%=120.0 wrong (actual=60.0),"Revenue=488389, GM%=60.0",FLAG,FLAG,1,0.5,0,0.0,0.0,0,0,0,1,0,0,0,0,0,1.0,2
