case_id,label,source,error_type,correct_answer,perturbed_answer,question_year,table_years,table_scale,answer_scale,unsupported_claims_count,coverage_ratio,recomputation_fail_count,max_relative_error,mean_relative_error,scale_mismatch_count,period_mismatch_count,ambiguity_count,pnl_table_detected,pnl_identity_fail_count,pnl_margin_fail_count,pnl_missing_baseline_count,pnl_period_strict_mismatch_count,near_tolerance_flag,grounding_confidence_score,claim_count
syn_ve_000,FLAG,synthetic_perturbed,value_error,316739,386421,,,,,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,2
syn_ve_001,FLAG,synthetic_perturbed,value_error,293034,361310,,,,,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,2
syn_ve_002,FLAG,synthetic_perturbed,value_error,86094,108392,,,,,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,2
syn_ve_003,FLAG,synthetic_perturbed,value_error,291161,370356,,,,,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,2
syn_ve_004,FLAG,synthetic_perturbed,value_error,385451,495304,,,,,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,2
syn_ve_005,FLAG,synthetic_perturbed,value_error,92499,120063,,,,,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,2
syn_ve_006,FLAG,synthetic_perturbed,value_error,120193,157573,,,,,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,2
syn_ve_007,FLAG,synthetic_perturbed,value_error,729903,966391,,,,,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,2
syn_ve_008,FLAG,synthetic_perturbed,value_error,136695,182761,,,,,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,2
syn_ve_009,FLAG,synthetic_perturbed,value_error,163399,199346,,,,,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,2
syn_ve_010,FLAG,synthetic_perturbed,value_error,179173,220920,,,,,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,2
