case_id,source,split,decision,unsupported_claims_count,coverage_ratio,recomputation_fail_count,max_relative_error,mean_relative_error,scale_mismatch_count,period_mismatch_count,ambiguity_count,pnl_table_detected,pnl_identity_fail_count,pnl_margin_fail_count,pnl_missing_baseline_count,pnl_period_strict_mismatch_count
case_062,synthetic,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,1,1,0,0,0,0
case_058,synthetic,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
case_040,synthetic,train,FLAG,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0
case_031,synthetic,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
case_057,synthetic,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
case_066,synthetic,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
case_080,synthetic,train,FLAG,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,4
case_020,synthetic,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,1,1,0,0,0,0
case_063,synthetic,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
case_027,synthetic,train,ACCEPT,0,1.0,0,0.037037037037037035,0.037037037037037035,0,0,0,1,0,0,0,0
case_073,synthetic,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
case_074,synthetic,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
case_021,synthetic,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
case_051,synthetic,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
case_016,synthetic,train,ACCEPT,0,1.0,0,0.038,0.038,0,0,0,1,0,0,0,0
case_034,synthetic,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
case_071,synthetic,train,FLAG,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,4
case_083,synthetic,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,1,1,0,0,0,0
case_009,synthetic,train,REPAIR,0,1.0,0,0.0,0.0,1,0,0,1,0,0,0,0
case_013,synthetic,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
case_067,synthetic,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
case_037,synthetic,train,FLAG,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
case_053,synthetic,train,ACCEPT,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
