case_id,label,source,unsupported_claims_count,coverage_ratio,recomputation_fail_count,max_relative_error,mean_relative_error,scale_mismatch_count,period_mismatch_count,ambiguity_count,pnl_table_detected,pnl_identity_fail_count,pnl_margin_fail_count,pnl_missing_baseline_count,pnl_period_strict_mismatch_count,near_tolerance_flag,grounding_confidence_score,claim_count
tatqa_pnl_00066,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,1
tatqa_pnl_00163,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.925,1
tatqa_pnl_00105,ACCEPT,tatqa_gold,0,1.0,0,0.0117647058823529,0.0117647058823529,0,0,1,1,0,0,0,0,1,0.9029,1
tatqa_pnl_00265,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,1
tatqa_pnl_00344,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,1
tatqa_pnl_00073,ACCEPT,tatqa_gold,0,1.0,0,1.2688263138573217e-16,1.2688263138573217e-16,0,0,0,1,0,0,0,0,0,0.825,1
tatqa_pnl_00218,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,1.0,1
tatqa_pnl_00220,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,1
tatqa_pnl_00026,ACCEPT,tatqa_gold,0,1.0,0,0.03420114952075616,0.03420114952075616,0,0,1,1,0,0,0,0,1,0.6975,1
tatqa_pnl_00214,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.9,1
tatqa_pnl_00219,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,1
tatqa_pnl_00095,ACCEPT,tatqa_gold,0,1.0,0,0.0072460315096643324,0.0072460315096643324,0,0,0,1,0,0,0,0,0,1.0,1
tatqa_pnl_00304,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,1.0,1
tatqa_pnl_00158,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,1,1,0,0,0,0,0,0.925,1
tatqa_pnl_00229,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,1.0,1
tatqa_pnl_00152,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.925,1
tatqa_pnl_00070,ACCEPT,tatqa_gold,0,1.0,0,0.021400778210116732,0.021400778210116732,0,0,1,1,0,0,0,0,1,0.7825,1
tatqa_pnl_00253,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,1,1,0,0,0,0,0,0.925,1
tatqa_pnl_00160,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.825,1
tatqa_pnl_00100,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.925,1
tatqa_pnl_00123,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.825,1
tatqa_pnl_00335,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.925,1
tatqa_pnl_00157,ACCEPT,tatqa_gold,0,1.0,0,0.04,0.04,0,0,0,1,0,0,0,0,1,0.55,1
tatqa_pnl_00159,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.925,1
tatqa_pnl_00121,ACCEPT,tatqa_gold,0,1.0,0,0.02536997885835095,0.02536997885835095,0,0,0,1,0,0,0,0,1,0.6079,1
tatqa_pnl_00148,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.925,1
tatqa_pnl_00320,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.925,1
tatqa_pnl_00124,ACCEPT,tatqa_gold,0,1.0,0,0.01621972430622258,0.01621972430622258,0,0,0,1,0,0,0,0,1,0.8473,1
tatqa_pnl_00056,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.925,1
tatqa_pnl_00242,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,1,1,0,0,0,0,0,1.0,1
tatqa_pnl_00134,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.925,1
tatqa_pnl_00101,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.925,1
tatqa_pnl_00267,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,1
tatqa_pnl_00198,ACCEPT,tatqa_gold,0,1.0,0,0.04068891280947255,0.04068891280947255,0,0,0,1,0,0,0,0,1,0.5414,1
tatqa_pnl_00133,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,1.0,1
tatqa_pnl_00191,ACCEPT,tatqa_gold,0,1.0,0,0.019259259259259243,0.019259259259259243,0,0,0,1,0,0,0,0,1,0.8093,1
tatqa_pnl_00293,ACCEPT,tatqa_gold,0,1.0,0,0.04595814526056623,0.04595814526056623,0,0,0,1,0,0,0,0,1,0.5505,1
tatqa_pnl_00234,ACCEPT,tatqa_gold,0,1.0,0,0.008888888888888898,0.008888888888888898,0,0,0,1,0,0,0,0,0,0.825,1
tatqa_pnl_00243,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,1,1,0,0,0,0,0,0.925,1
tatqa_pnl_00188,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,1.0,1
tatqa_pnl_00351,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.925,1
tatqa_pnl_00146,ACCEPT,tatqa_gold,0,1.0,0,0.010653702937525858,0.010653702937525858,0,0,1,1,0,0,0,0,1,0.8918,1
tatqa_pnl_00015,ACCEPT,tatqa_gold,0,1.0,0,0.03840519045625785,0.03840519045625785,0,0,0,1,0,0,0,0,1,0.5449,1
tatqa_pnl_00051,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,1
tatqa_pnl_00156,ACCEPT,tatqa_gold,0,1.0,0,0.043478260869565216,0.043478260869565216,0,0,0,1,0,0,0,0,1,0.4065,1
tatqa_pnl_00164,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,1.0,1
tatqa_pnl_00129,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.78,1
tatqa_pnl_00269,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.9,1
tatqa_pnl_00076,ACCEPT,tatqa_gold,0,1.0,0,0.02417700371354622,0.02417700371354622,0,0,1,1,0,0,0,0,1,0.7228,1
tatqa_pnl_00165,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.925,1
tatqa_pnl_00197,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.925,1
tatqa_pnl_00193,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,1,1,0,0,0,0,0,0.825,1
tatqa_pnl_00268,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.9,1
tatqa_pnl_00185,ACCEPT,tatqa_gold,0,1.0,0,0.002665482007996389,0.002665482007996389,0,0,0,1,0,0,0,0,0,0.925,1
tatqa_pnl_00261,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.925,1
tatqa_pnl_00241,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,1.0,1
tatqa_pnl_00294,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.925,1
tatqa_pnl_00262,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,1,1,0,0,0,0,0,0.925,1
tatqa_pnl_00295,ACCEPT,tatqa_gold,0,1.0,0,0.04160054409430968,0.04160054409430968,0,0,0,1,0,0,0,0,1,0.53,1
tatqa_pnl_00161,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.925,1
tatqa_pnl_00221,ACCEPT,tatqa_gold,0,1.0,0,0.01370407149950357,0.01370407149950357,0,0,0,1,0,0,0,0,1,0.7537,1
tatqa_pnl_00257,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,1.0,1
tatqa_pnl_00057,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.925,1
tatqa_pnl_00093,ACCEPT,tatqa_gold,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.925,1
