case_id,label,source,unsupported_claims_count,coverage_ratio,recomputation_fail_count,max_relative_error,mean_relative_error,scale_mismatch_count,period_mismatch_count,ambiguity_count,pnl_table_detected,pnl_identity_fail_count,pnl_margin_fail_count,pnl_missing_baseline_count,pnl_period_strict_mismatch_count
tatqa_pnl_00066,ACCEPT,tatqa_gold_train,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00163,ACCEPT,tatqa_gold_train,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00105,ACCEPT,tatqa_gold_train,0,1.0,0,0.0117647058823529,0.0117647058823529,0,0,1,1,0,0,0,0
tatqa_pnl_00265,ACCEPT,tatqa_gold_train,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00344,ACCEPT,tatqa_gold_train,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00073,ACCEPT,tatqa_gold_train,0,1.0,0,1.2688263138573217e-16,1.2688263138573217e-16,0,0,0,1,0,0,0,0
tatqa_pnl_00218,ACCEPT,tatqa_gold_train,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00220,ACCEPT,tatqa_gold_train,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00026,ACCEPT,tatqa_gold_train,0,1.0,0,0.03420114952075616,0.03420114952075616,0,0,1,1,0,0,0,0
tatqa_pnl_00214,ACCEPT,tatqa_gold_train,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00219,ACCEPT,tatqa_gold_train,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00095,ACCEPT,tatqa_gold_train,0,1.0,0,0.0072460315096643324,0.0072460315096643324,0,0,0,1,0,0,0,0
tatqa_pnl_00304,ACCEPT,tatqa_gold_train,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00158,ACCEPT,tatqa_gold_train,0,1.0,0,0.0,0.0,0,0,1,1,0,0,0,0
tatqa_pnl_00229,ACCEPT,tatqa_gold_train,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00152,ACCEPT,tatqa_gold_train,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00070,ACCEPT,tatqa_gold_train,0,1.0,0,0.021400778210116732,0.021400778210116732,0,0,1,1,0,0,0,0
tatqa_pnl_00253,ACCEPT,tatqa_gold_train,0,1.0,0,0.0,0.0,0,0,1,1,0,0,0,0
tatqa_pnl_00160,ACCEPT,tatqa_gold_train,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00100,ACCEPT,tatqa_gold_train,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00123,ACCEPT,tatqa_gold_train,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00335,ACCEPT,tatqa_gold_train,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00157,ACCEPT,tatqa_gold_train,0,1.0,0,0.04,0.04,0,0,0,1,0,0,0,0
tatqa_pnl_00159,ACCEPT,tatqa_gold_train,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00121,ACCEPT,tatqa_gold_train,0,1.0,0,0.02536997885835095,0.02536997885835095,0,0,0,1,0,0,0,0
tatqa_pnl_00148,ACCEPT,tatqa_gold_train,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00320,ACCEPT,tatqa_gold_train,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00124,ACCEPT,tatqa_gold_train,0,1.0,0,0.01621972430622258,0.01621972430622258,0,0,0,1,0,0,0,0
tatqa_pnl_00056,ACCEPT,tatqa_gold_train,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00242,ACCEPT,tatqa_gold_train,0,1.0,0,0.0,0.0,0,0,1,1,0,0,0,0
tatqa_pnl_00134,ACCEPT,tatqa_gold_train,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00101,ACCEPT,tatqa_gold_train,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00267,ACCEPT,tatqa_gold_train,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00198,ACCEPT,tatqa_gold_train,0,1.0,0,0.04068891280947255,0.04068891280947255,0,0,0,1,0,0,0,0
tatqa_pnl_00133,ACCEPT,tatqa_gold_train,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00191,ACCEPT,tatqa_gold_train,0,1.0,0,0.019259259259259243,0.019259259259259243,0,0,0,1,0,0,0,0
tatqa_pnl_00293,ACCEPT,tatqa_gold_train,0,1.0,0,0.04595814526056623,0.04595814526056623,0,0,0,1,0,0,0,0
tatqa_pnl_00234,ACCEPT,tatqa_gold_train,0,1.0,0,0.008888888888888898,0.008888888888888898,0,0,0,1,0,0,0,0
tatqa_pnl_00243,ACCEPT,tatqa_gold_train,0,1.0,0,0.0,0.0,0,0,1,1,0,0,0,0
tatqa_pnl_00188,ACCEPT,tatqa_gold_train,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00351,ACCEPT,tatqa_gold_train,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00146,ACCEPT,tatqa_gold_train,0,1.0,0,0.010653702937525858,0.010653702937525858,0,0,1,1,0,0,0,0
tatqa_pnl_00015,ACCEPT,tatqa_gold_train,0,1.0,0,0.03840519045625785,0.03840519045625785,0,0,0,1,0,0,0,0
tatqa_pnl_00051,ACCEPT,tatqa_gold_train,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00156,ACCEPT,tatqa_gold_train,0,1.0,0,0.043478260869565216,0.043478260869565216,0,0,0,1,0,0,0,0
tatqa_pnl_00164,ACCEPT,tatqa_gold_train,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00129,ACCEPT,tatqa_gold_train,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00269,ACCEPT,tatqa_gold_train,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00076,ACCEPT,tatqa_gold_train,0,1.0,0,0.02417700371354622,0.02417700371354622,0,0,1,1,0,0,0,0
tatqa_pnl_00165,ACCEPT,tatqa_gold_train,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00197,ACCEPT,tatqa_gold_train,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00193,ACCEPT,tatqa_gold_train,0,1.0,0,0.0,0.0,0,0,1,1,0,0,0,0
tatqa_pnl_00268,ACCEPT,tatqa_gold_train,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00185,ACCEPT,tatqa_gold_train,0,1.0,0,0.002665482007996389,0.002665482007996389,0,0,0,1,0,0,0,0
tatqa_pnl_00261,ACCEPT,tatqa_gold_train,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00241,ACCEPT,tatqa_gold_train,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00294,ACCEPT,tatqa_gold_train,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00262,ACCEPT,tatqa_gold_train,0,1.0,0,0.0,0.0,0,0,1,1,0,0,0,0
tatqa_pnl_00295,ACCEPT,tatqa_gold_train,0,1.0,0,0.04160054409430968,0.04160054409430968,0,0,0,1,0,0,0,0
tatqa_pnl_00161,ACCEPT,tatqa_gold_train,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00221,ACCEPT,tatqa_gold_train,0,1.0,0,0.01370407149950357,0.01370407149950357,0,0,0,1,0,0,0,0
tatqa_pnl_00257,ACCEPT,tatqa_gold_train,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00057,ACCEPT,tatqa_gold_dev,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00093,ACCEPT,tatqa_gold_dev,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00103,ACCEPT,tatqa_gold_dev,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00150,ACCEPT,tatqa_gold_dev,0,1.0,0,0.01897810218978102,0.01897810218978102,0,0,0,1,0,0,0,0
tatqa_pnl_00192,ACCEPT,tatqa_gold_dev,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00266,ACCEPT,tatqa_gold_dev,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00138,ACCEPT,tatqa_gold_dev,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00342,ACCEPT,tatqa_gold_dev,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00330,ACCEPT,tatqa_gold_dev,0,1.0,0,0.0225806451612903,0.0225806451612903,0,0,0,1,0,0,0,0
tatqa_pnl_00139,ACCEPT,tatqa_gold_dev,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00237,ACCEPT,tatqa_gold_dev,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00350,ACCEPT,tatqa_gold_dev,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00137,ACCEPT,tatqa_gold_dev,0,1.0,0,0.038108757370604936,0.038108757370604936,0,0,1,1,0,0,0,0
tatqa_pnl_00190,ACCEPT,tatqa_gold_dev,0,1.0,0,0.009505703422053232,0.009505703422053232,0,0,1,1,0,0,0,0
tatqa_pnl_00187,ACCEPT,tatqa_gold_dev,0,1.0,0,0.02134502923976599,0.02134502923976599,0,0,1,1,0,0,0,0
tatqa_pnl_00338,ACCEPT,tatqa_gold_dev,0,1.0,0,0.0034795168067226893,0.0034795168067226893,0,0,0,1,0,0,0,0
tatqa_pnl_00149,ACCEPT,tatqa_gold_dev,0,1.0,0,0.015285599356395816,0.015285599356395816,0,0,0,1,0,0,0,0
tatqa_pnl_00024,ACCEPT,tatqa_gold_dev,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00186,ACCEPT,tatqa_gold_test,0,1.0,0,0.01281735272368753,0.01281735272368753,0,0,0,1,0,0,0,0
tatqa_pnl_00151,ACCEPT,tatqa_gold_test,0,1.0,0,0.04184549356223176,0.04184549356223176,0,0,0,1,0,0,0,0
tatqa_pnl_00236,ACCEPT,tatqa_gold_test,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00184,ACCEPT,tatqa_gold_test,0,1.0,0,0.0,0.0,0,0,1,1,0,0,0,0
tatqa_pnl_00050,ACCEPT,tatqa_gold_test,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00340,ACCEPT,tatqa_gold_test,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00347,ACCEPT,tatqa_gold_test,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00080,ACCEPT,tatqa_gold_test,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00343,ACCEPT,tatqa_gold_test,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00302,ACCEPT,tatqa_gold_test,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00230,ACCEPT,tatqa_gold_test,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00215,ACCEPT,tatqa_gold_test,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00346,ACCEPT,tatqa_gold_test,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00102,ACCEPT,tatqa_gold_test,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00259,ACCEPT,tatqa_gold_test,0,1.0,0,0.008017620272559464,0.008017620272559464,0,0,1,1,0,0,0,0
tatqa_pnl_00017,ACCEPT,tatqa_gold_test,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00217,ACCEPT,tatqa_gold_test,0,1.0,0,0.0020000000000000282,0.0020000000000000282,0,0,0,1,0,0,0,0
tatqa_pnl_00303,ACCEPT,tatqa_gold_test,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00045,ACCEPT,tatqa_gold_test,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
tatqa_pnl_00141,ACCEPT,tatqa_gold_test,0,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0
syn_ve_000,FLAG,synthetic_perturbed,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
syn_ve_001,FLAG,synthetic_perturbed,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
syn_ve_002,FLAG,synthetic_perturbed,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
syn_ve_003,FLAG,synthetic_perturbed,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
syn_ve_004,FLAG,synthetic_perturbed,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
syn_ve_005,FLAG,synthetic_perturbed,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
syn_ve_006,FLAG,synthetic_perturbed,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
syn_ve_007,FLAG,synthetic_perturbed,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
syn_ve_008,FLAG,synthetic_perturbed,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
syn_ve_009,FLAG,synthetic_perturbed,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
syn_ve_010,FLAG,synthetic_perturbed,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
syn_ve_011,FLAG,synthetic_perturbed,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
syn_ve_012,FLAG,synthetic_perturbed,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
syn_ve_013,FLAG,synthetic_perturbed,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
syn_ve_014,FLAG,synthetic_perturbed,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
syn_ve_015,FLAG,synthetic_perturbed,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
syn_ve_016,FLAG,synthetic_perturbed,1,0.0,0,0.0,0.0,0,0,0,1,0,0,0,0
