case_id,label,source,unsupported_claims_count,coverage_ratio,max_relative_error,mean_relative_error,scale_mismatch_count,ambiguity_count,pnl_identity_fail_count,pnl_period_strict_mismatch_count,grounding_confidence_score,unverifiable_claim_count
tatqa_pnl_00066,ACCEPT,tatqa_gold_train,0,1.0,0.0,0.0,0,0,0,0,1.0,0
tatqa_pnl_00163,ACCEPT,tatqa_gold_train,0,1.0,0.0,0.0,0,0,0,0,1.0,0
tatqa_pnl_00105,ACCEPT,tatqa_gold_train,0,1.0,0.0117647058823529,0.0117647058823529,0,1,0,0,1.0,0
tatqa_pnl_00265,ACCEPT,tatqa_gold_train,0,1.0,0.0,0.0,0,0,0,0,1.0,0
tatqa_pnl_00344,ACCEPT,tatqa_gold_train,0,1.0,0.0,0.0,0,0,0,0,1.0,0
tatqa_pnl_00073,ACCEPT,tatqa_gold_train,0,1.0,1.2688263138573214e-16,1.2688263138573214e-16,0,0,0,0,1.0,0
tatqa_pnl_00218,ACCEPT,tatqa_gold_train,0,1.0,0.0,0.0,0,0,0,0,1.0,0
tatqa_pnl_00220,ACCEPT,tatqa_gold_train,0,1.0,0.0,0.0,0,0,0,0,1.0,0
tatqa_pnl_00026,ACCEPT,tatqa_gold_train,0,1.0,0.0342011495207561,0.0342011495207561,0,1,0,0,1.0,0
tatqa_pnl_00214,ACCEPT,tatqa_gold_train,0,1.0,0.0,0.0,0,0,0,0,1.0,0
tatqa_pnl_00219,ACCEPT,tatqa_gold_train,0,1.0,0.0,0.0,0,0,0,0,1.0,0
tatqa_pnl_00095,ACCEPT,tatqa_gold_train,0,1.0,0.0072460315096643,0.0072460315096643,0,0,0,0,1.0,0
tatqa_pnl_00304,ACCEPT,tatqa_gold_train,0,1.0,0.0,0.0,0,0,0,0,1.0,0
tatqa_pnl_00158,ACCEPT,tatqa_gold_train,0,1.0,0.0,0.0,0,1,0,0,1.0,0
tatqa_pnl_00229,ACCEPT,tatqa_gold_train,0,1.0,0.0,0.0,0,0,0,0,1.0,0
tatqa_pnl_00152,ACCEPT,tatqa_gold_train,0,1.0,0.0,0.0,0,0,0,0,1.0,0
tatqa_pnl_00070,ACCEPT,tatqa_gold_train,0,1.0,0.0214007782101167,0.0214007782101167,0,1,0,0,1.0,0
tatqa_pnl_00253,ACCEPT,tatqa_gold_train,0,1.0,0.0,0.0,0,1,0,0,1.0,0
tatqa_pnl_00160,ACCEPT,tatqa_gold_train,0,1.0,0.0,0.0,0,0,0,0,1.0,0
tatqa_pnl_00100,ACCEPT,tatqa_gold_train,0,1.0,0.0,0.0,0,0,0,0,1.0,0
tatqa_pnl_00123,ACCEPT,tatqa_gold_train,0,1.0,0.0,0.0,0,0,0,0,1.0,0
tatqa_pnl_00335,ACCEPT,tatqa_gold_train,0,1.0,0.0,0.0,0,0,0,0,1.0,0
tatqa_pnl_00157,ACCEPT,tatqa_gold_train,0,1.0,0.04,0.04,0,0,0,0,1.0,0
tatqa_pnl_00159,ACCEPT,tatqa_gold_train,0,1.0,0.0,0.0,0,0,0,0,1.0,0
tatqa_pnl_00121,ACCEPT,tatqa_gold_train,0,1.0,0.0253699788583509,0.0253699788583509,0,0,0,0,1.0,0
tatqa_pnl_00148,ACCEPT,tatqa_gold_train,0,1.0,0.0,0.0,0,0,0,0,1.0,0
tatqa_pnl_00320,ACCEPT,tatqa_gold_train,0,1.0,0.0,0.0,0,0,0,0,1.0,0
tatqa_pnl_00124,ACCEPT,tatqa_gold_train,0,1.0,0.0162197243062225,0.0162197243062225,0,0,0,0,1.0,0
tatqa_pnl_00056,ACCEPT,tatqa_gold_train,0,1.0,0.0,0.0,0,0,0,0,1.0,0
tatqa_pnl_00242,ACCEPT,tatqa_gold_train,0,1.0,0.0,0.0,0,1,0,0,1.0,0
tatqa_pnl_00134,ACCEPT,tatqa_gold_train,0,1.0,0.0,0.0,0,0,0,0,1.0,0
tatqa_pnl_00101,ACCEPT,tatqa_gold_train,0,1.0,0.0,0.0,0,0,0,0,1.0,0
tatqa_pnl_00267,ACCEPT,tatqa_gold_train,0,1.0,0.0,0.0,0,0,0,0,1.0,0
tatqa_pnl_00198,ACCEPT,tatqa_gold_train,0,1.0,0.0406889128094725,0.0406889128094725,0,0,0,0,1.0,0
tatqa_pnl_00133,ACCEPT,tatqa_gold_train,0,1.0,0.0,0.0,0,0,0,0,1.0,0
tatqa_pnl_00191,ACCEPT,tatqa_gold_train,0,1.0,0.0192592592592592,0.0192592592592592,0,0,0,0,1.0,0
tatqa_pnl_00293,ACCEPT,tatqa_gold_train,0,1.0,0.0459581452605662,0.0459581452605662,0,0,0,0,1.0,0
tatqa_pnl_00234,ACCEPT,tatqa_gold_train,0,1.0,0.0088888888888888,0.0088888888888888,0,0,0,0,1.0,0
tatqa_pnl_00243,ACCEPT,tatqa_gold_train,0,1.0,0.0,0.0,0,1,0,0,1.0,0
tatqa_pnl_00188,ACCEPT,tatqa_gold_train,0,1.0,0.0,0.0,0,0,0,0,1.0,0
tatqa_pnl_00351,ACCEPT,tatqa_gold_train,0,1.0,0.0,0.0,0,0,0,0,1.0,0
tatqa_pnl_00146,ACCEPT,tatqa_gold_train,0,1.0,0.0106537029375258,0.0106537029375258,0,1,0,0,1.0,0
tatqa_pnl_00015,ACCEPT,tatqa_gold_train,0,1.0,0.0384051904562578,0.0384051904562578,0,0,0,0,1.0,0
tatqa_pnl_00051,ACCEPT,tatqa_gold_train,0,1.0,0.0,0.0,0,0,0,0,1.0,0
tatqa_pnl_00156,ACCEPT,tatqa_gold_train,0,1.0,0.0434782608695652,0.0434782608695652,0,0,0,0,1.0,0
